supplement_id,analysis_section,filename,file_format,title,description,release_status,manuscript_use,source_path,source_sha256,additional_source_paths,additional_source_sha256,output_sha256,rows,columns,bytes
S01,Study design,Supplementary_Data_S01_species_analysis_availability.csv,CSV,Species-level analysis availability,Union of species and the analysis steps for which each has data. Panel flags are normalized against the frozen panel membership tables.,main_candidate,Defines analysis-specific denominators.,data/identity/analysis_availability.csv,d72824e662605b4d42e4e2e0d5458e787f8cc0173a44fe8b3ae355385c6c14e8,"[""analyses/01_transposable_elements/data/ltr_resource_coverage.csv"",""analyses/01_transposable_elements/recompute_ltr_release.py"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json""]","{""analyses/01_transposable_elements/data/ltr_resource_coverage.csv"":""25cb335ea86ec62b2e246ffd29987babd0dd7f4c2298180f0025e0d7365a4d3e"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json"":""82d79cb79ea0a16f5a8b16c10598d096a40d1d7c31660f5c72c07631e8622709"",""analyses/01_transposable_elements/recompute_ltr_release.py"":""7e597cd842fa6c336474208840c298caaa362ceb5ab0171fb3febc47a2d830df""}",d72824e662605b4d42e4e2e0d5458e787f8cc0173a44fe8b3ae355385c6c14e8,37,43,16105
S02,Study design,Supplementary_Data_S02_te_resource_panel34.csv,CSV,Genomic TE resource panel,Frozen accession-explicit 34-species genomic TE panel.,main_candidate,Primary TE descriptive denominator.,data/identity/te34_panel.csv,b78afbff2fee4067a4987d837c29ba970b296bb9f0d09104f0b6bf0770a27fbd,[],{},b78afbff2fee4067a4987d837c29ba970b296bb9f0d09104f0b6bf0770a27fbd,34,18,6859
S03,Study design,Supplementary_Data_S03_path_analysis_panel24.csv,CSV,Finalized path-analysis panel,"All 24 finalized cell, nucleus, and IOD species, including three manually reviewed below-target inclusions.",main_candidate,Primary microscopy and cell-nucleus-genome path denominator.,data/identity/path24_panel.csv,6aa3ea8d805ee61796b0e80e8063e92ce6dc7d6c65627e975eed54123fc939f8,[],{},6aa3ea8d805ee61796b0e80e8063e92ce6dc7d6c65627e975eed54123fc939f8,24,18,5280
S04,Study design,Supplementary_Data_S04_path_analysis_traits24.csv,CSV,Finalized Path24 image traits,"Relative nuclear IOD, nucleus area, cell area, and support counts for all 24 finalized species.",main_candidate,Primary three-trait input expressed without an absolute-genome-size claim.,analyses/03_phylogenetic_path/data/path24_traits.csv,5f3fc6a06d1b5761bcb63bb4de108aa9d9b71f550618684a9fb55cf760a203cf,[],{},5f3fc6a06d1b5761bcb63bb4de108aa9d9b71f550618684a9fb55cf760a203cf,24,13,5211
S05,Genomic data acquisition and processing,Supplementary_Data_S05_assembly_quality.csv,CSV,Assembly accessions and quality,"NCBI accession-linked assembly span, N50, and contiguity metadata.",main_candidate,Supports genomic-resource acquisition and QC.,analyses/01_transposable_elements/data/assembly_quality.csv,91b0164eeeddd54f3bc892504e9a4261c0f43b58fe16c773288533d3e7ae5a75,[],{},91b0164eeeddd54f3bc892504e9a4261c0f43b58fe16c773288533d3e7ae5a75,34,12,8575
S06,Genomic data acquisition and processing,Supplementary_Data_S06_dnapipete_input_quality.csv,CSV,dnaPipeTE input and accounting QC,"Run counts, aligned bases, classification retention, and retry policy.",main_candidate,Supports de novo TE analysis QC.,analyses/01_transposable_elements/data/dnapipete_input_quality.csv,d74dc492c8fc16511a747311db483efeff0d3ff6d7b4b2a4aa8c385aa7662600,[],{},d74dc492c8fc16511a747311db483efeff0d3ff6d7b4b2a4aa8c385aa7662600,34,22,10862
S07,De novo TE analysis,Supplementary_Data_S07_dnapipete_mass_accounting.csv,CSV,dnaPipeTE mass accounting,Species-level retained and unresolved aligned-base mass with equal weighting of retry runs.,main_candidate,Primary dnaPipeTE denominator audit.,analyses/01_transposable_elements/data/dnapipete_mass_accounting.csv,575fa00362c35c206f84fedc44a110948306ea141a8cd7b10ef7c93f95aef3a7,[],{},575fa00362c35c206f84fedc44a110948306ea141a8cd7b10ef7c93f95aef3a7,34,17,8389
S08,TE diversity,Supplementary_Data_S08_te_diversity.csv,CSV,TE diversity summaries,Order- and superfamily-level Shannon entropy and Gini-Simpson index values under classified-conditional and unresolved-mass-aware compositions; unresolved mass is an accounting bin.,main_candidate,Primary paper-facing diversity endpoints are classified-conditional order-level Shannon entropy and the Gini-Simpson index. Observed richness is an audit/support count; superfamily and mass-aware rows are sensitivity or audit strata.,analyses/01_transposable_elements/data/te_diversity.csv,77afcb3875fa308ffb876a1c8486363e196ce190d4c3df3e4d5d83e8dd4ae847,"[""analyses/01_transposable_elements/data/te_order_composition.csv"",""analyses/01_transposable_elements/data/te_superfamily_composition.csv"",""analyses/01_transposable_elements/data/dnapipete_mass_accounting.csv""]","{""analyses/01_transposable_elements/data/dnapipete_mass_accounting.csv"":""575fa00362c35c206f84fedc44a110948306ea141a8cd7b10ef7c93f95aef3a7"",""analyses/01_transposable_elements/data/te_order_composition.csv"":""c7b00470d8e26b1ed6063a9d68b3c8403618df3298d485346c16818fb9c1b965"",""analyses/01_transposable_elements/data/te_superfamily_composition.csv"":""8b3b33eef684a53b474ed00352d924a946ed6820beaa47aaed9699423755c4e1""}",77afcb3875fa308ffb876a1c8486363e196ce190d4c3df3e4d5d83e8dd4ae847,136,6,11438
S09,TE ordination,Supplementary_Data_S09_te_pca_scores.csv,CSV,TE compositional PCA scores,Species scores from the single 24-feature superfamily CLR-PCA fit after within-species retry averaging and restriction to superfamilies positive in all 34 species.,supplementary,Supports exploratory shared-superfamily ordination.,analyses/01_transposable_elements/data/te_pca_scores.csv,baa282fbe82ea825fde1ef83d345db802509992b8e5241ea21eb93fd4dab5795,[],{},baa282fbe82ea825fde1ef83d345db802509992b8e5241ea21eb93fd4dab5795,34,26,16821
S10,TE ordination,Supplementary_Data_S10_te_pca_variance.csv,CSV,TE PCA explained variance,Eigenvalues and explained variance from the same superfamily CLR-PCA fit as S09 and S11.,supplementary,Supports PCA scree and axis labels.,analyses/01_transposable_elements/data/te_pca_variance.csv,11a22893342324c22fa55f90ddf1b61df197b6f2503e0e688cb192a87376d20c,[],{},11a22893342324c22fa55f90ddf1b61df197b6f2503e0e688cb192a87376d20c,23,4,1413
