id,decision,decision_source,species,rank,review_key,filename,tile_name,source_match,included_in_finalized,decision_file
aeneus-0855,keep,auto_fill,D. aeneus,15,Process_393_green.ome.tiff::tile_y008192_x053248.tiff::1,Process_393_green.ome.tiff,tile_y008192_x053248.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0861,problem,explicit,D. aeneus,21,Process_393_green.ome.tiff::tile_y008192_x053248.tiff::4,Process_393_green.ome.tiff,tile_y008192_x053248.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0856,problem,explicit,D. aeneus,16,Process_393_green.ome.tiff::tile_y040960_x000000.tiff::3,Process_393_green.ome.tiff,tile_y040960_x000000.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0871,keep,auto_fill,D. aeneus,31,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::1,Process_395_green.ome.tiff,tile_y008192_x020480.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0862,keep,auto_fill,D. aeneus,22,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::2,Process_395_green.ome.tiff,tile_y008192_x020480.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0860,keep,auto_fill,D. aeneus,20,Process_395_green.ome.tiff::tile_y008192_x024576.tiff::4,Process_395_green.ome.tiff,tile_y008192_x024576.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0846,keep,auto_fill,D. aeneus,6,Process_395_green.ome.tiff::tile_y008192_x040960.tiff::1,Process_395_green.ome.tiff,tile_y008192_x040960.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0869,problem,explicit,D. aeneus,29,Process_395_green.ome.tiff::tile_y008192_x040960.tiff::15,Process_395_green.ome.tiff,tile_y008192_x040960.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0867,keep,auto_fill,D. aeneus,27,Process_395_green.ome.tiff::tile_y008192_x040960.tiff::7,Process_395_green.ome.tiff,tile_y008192_x040960.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0845,keep,auto_fill,D. aeneus,5,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::10,Process_395_green.ome.tiff,tile_y012288_x012288.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0859,problem,explicit,D. aeneus,19,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::2,Process_395_green.ome.tiff,tile_y012288_x012288.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0844,keep,auto_fill,D. aeneus,4,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::4,Process_395_green.ome.tiff,tile_y012288_x012288.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0852,keep,auto_fill,D. aeneus,12,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::7,Process_395_green.ome.tiff,tile_y012288_x012288.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0866,keep,auto_fill,D. aeneus,26,Process_395_green.ome.tiff::tile_y012288_x020480.tiff::6,Process_395_green.ome.tiff,tile_y012288_x020480.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0850,keep,auto_fill,D. aeneus,10,Process_395_green.ome.tiff::tile_y020480_x016384.tiff::4,Process_395_green.ome.tiff,tile_y020480_x016384.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0841,keep,auto_fill,D. aeneus,1,Process_395_green.ome.tiff::tile_y020480_x016384.tiff::5,Process_395_green.ome.tiff,tile_y020480_x016384.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0863,keep,auto_fill,D. aeneus,23,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::10,Process_395_green.ome.tiff,tile_y024576_x008192.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0864,keep,explicit,D. aeneus,24,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::16,Process_395_green.ome.tiff,tile_y024576_x008192.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0849,keep,auto_fill,D. aeneus,9,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::23,Process_395_green.ome.tiff,tile_y024576_x008192.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0879,keep,auto_fill,D. aeneus,39,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::3,Process_395_green.ome.tiff,tile_y024576_x008192.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0853,keep,auto_fill,D. aeneus,13,Process_395_green.ome.tiff::tile_y024576_x016384.tiff::2,Process_395_green.ome.tiff,tile_y024576_x016384.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0842,problem,explicit,D. aeneus,2,Process_395_green.ome.tiff::tile_y028672_x024576.tiff::1,Process_395_green.ome.tiff,tile_y028672_x024576.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0858,problem,explicit,D. aeneus,18,Process_395_green.ome.tiff::tile_y028672_x024576.tiff::5,Process_395_green.ome.tiff,tile_y028672_x024576.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0877,keep,auto_fill,D. aeneus,37,Process_395_green.ome.tiff::tile_y028672_x024576.tiff::8,Process_395_green.ome.tiff,tile_y028672_x024576.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0875,keep,auto_fill,D. aeneus,35,Process_395_green.ome.tiff::tile_y032768_x004096.tiff::1,Process_395_green.ome.tiff,tile_y032768_x004096.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0848,problem,explicit,D. aeneus,8,Process_395_green.ome.tiff::tile_y040960_x036864.tiff::3,Process_395_green.ome.tiff,tile_y040960_x036864.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0857,problem,explicit,D. aeneus,17,Process_395_green.ome.tiff::tile_y040960_x036864.tiff::4,Process_395_green.ome.tiff,tile_y040960_x036864.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0872,problem,explicit,D. aeneus,32,Process_395_green.ome.tiff::tile_y040960_x040960.tiff::12,Process_395_green.ome.tiff,tile_y040960_x040960.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0876,problem,explicit,D. aeneus,36,Process_395_green.ome.tiff::tile_y040960_x040960.tiff::3,Process_395_green.ome.tiff,tile_y040960_x040960.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0874,problem,explicit,D. aeneus,34,Process_395_green.ome.tiff::tile_y040960_x040960.tiff::9,Process_395_green.ome.tiff,tile_y040960_x040960.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0847,problem,explicit,D. aeneus,7,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::11,Process_395_green.ome.tiff,tile_y040960_x057344.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0878,problem,explicit,D. aeneus,38,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::2,Process_395_green.ome.tiff,tile_y040960_x057344.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0868,keep,auto_fill,D. aeneus,28,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::5,Process_395_green.ome.tiff,tile_y040960_x057344.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0865,problem,explicit,D. aeneus,25,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::7,Process_395_green.ome.tiff,tile_y040960_x057344.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0843,keep,auto_fill,D. aeneus,3,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::8,Process_395_green.ome.tiff,tile_y040960_x057344.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0851,problem,explicit,D. aeneus,11,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::9,Process_395_green.ome.tiff,tile_y040960_x057344.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0870,problem,explicit,D. aeneus,30,Process_395_green.ome.tiff::tile_y053248_x053248.tiff::1,Process_395_green.ome.tiff,tile_y053248_x053248.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0880,problem,explicit,D. aeneus,40,Process_396_green.ome.tiff::tile_y020480_x045056.tiff::1,Process_396_green.ome.tiff,tile_y020480_x045056.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0854,problem,explicit,D. aeneus,14,Process_396_green.ome.tiff::tile_y053248_x032768.tiff::1,Process_396_green.ome.tiff,tile_y053248_x032768.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
aeneus-0873,problem,explicit,D. aeneus,33,Process_396_green.ome.tiff::tile_y077824_x040960.tiff::2,Process_396_green.ome.tiff,tile_y077824_x040960.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
ochrophaeus-0640,keep,reviewed_unmarked_keep,D. ochrophaeus,40,Process_316_raw_green.ome.tiff::tile_y008192_x036864.tiff::11,Process_316_raw_green.ome.tiff,tile_y008192_x036864.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
ochrophaeus-0616,problem,explicit,D. ochrophaeus,16,Process_316_raw_green.ome.tiff::tile_y008192_x036864.tiff::12,Process_316_raw_green.ome.tiff,tile_y008192_x036864.tiff,both,False,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
ochrophaeus-0622,keep,reviewed_unmarked_keep,D. ochrophaeus,22,Process_316_raw_green.ome.tiff::tile_y008192_x036864.tiff::2,Process_316_raw_green.ome.tiff,tile_y008192_x036864.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/image_quality_matched_review_extension_20260714_decisions_aeneus_wrighti_orestes_ochrophaeus.csv
