trait_name,concept_block,priority,data_type,preferred_measurement,unit,preferred_source_tier,fallback_rule,coverage_target,main_model_role,canonical_species_aggregation,notes
max_svl_mm,body_size,tier1,continuous,collaborator-provided maximum snout-vent length,mm,collaborator_desmog_svl,no literature or database fallback,37,core_covariate,max,Sole authorized body-size variable; exact source aliases come from source_species_aliases.csv.
aquaticity_index,lifestyle,tier1,ordinal,adult habitat association,code,primary literature and revision accounts,"derive from source wording with fixed rubric",20,core_covariate,,0 terrestrial DD to 3 swamp or highly aquatic
microhabitat_class,lifestyle,tier1,categorical,adult microhabitat,class,primary literature and revision accounts,"collapse into stable analysis classes",20,core_covariate,,Use if ordinal aquaticity is too lossy
development_mode,development,tier1,binary,direct development vs aquatic larva,code,AmphiBIO plus primary literature,"cross-check against species accounts and revisions",20,core_covariate,,Keep source wording in raw extraction
reproductive_strategy,reproductive_strategy,tier1,categorical,direct development vs aquatic eggs vs terrestrial eggs with aquatic larvae,class,expert personal communication,leave missing unless the species was explicitly coded,20,post_hoc_descriptive,,"Controlled values: direct_development; aquatic_eggs; terrestrial_eggs_aquatic_larvae. Distinct from adult aquaticity. Expert interpretation followed review of the initial PCA, so it is not an a priori clustering hypothesis."
larval_period_months,development,tier2,continuous,months from hatch to metamorphosis,months,species life-history literature,leave missing if not clearly reported,14,sensitivity_only,,Do not estimate from vague wording
age_at_maturity_months,life_history,tier2,continuous,age at sexual maturity,months,species life-history literature,leave missing if not clearly reported,14,sensitivity_only,,Expected to be sparse
clutch_size_mean,life_history,tier2,continuous,mean or typical clutch size,count,species life-history literature,"allow source-reported range midpoint with flag",14,sensitivity_only,,Prefer gravid female counts
egg_diameter_mm,life_history,tier2,continuous,egg diameter,mm,species life-history literature,leave missing if not clearly reported,14,sensitivity_only,,Useful alongside clutch size
elevation_min_m,elevation,tier1,continuous,minimum elevation,m,primary accounts or range summaries,"derive from occurrence data only after QC",20,core_covariate,,Store raw min and max before midpoint
elevation_max_m,elevation,tier1,continuous,maximum elevation,m,primary accounts or range summaries,"derive from occurrence data only after QC",20,core_covariate,,Store raw min and max before midpoint
elevation_mid_m,elevation,tier1,continuous,midpoint of elevation range,m,derived from min and max,calculate from curated min and max,20,core_covariate,,Use midpoint in first-pass models
shape_pc1_resid_svl,external_morphology,tier3,continuous,size-corrected external morphology axis,sd,recent revision morphometric datasets,only derive if enough comparable raw measurements exist,14,supplement_only,,Do not include many raw morphometric variables directly in the DAG
stream_association,lifestyle,tier2,binary,presence of strong stream association,code,primary literature and species accounts,derive from rubric if aquaticity index is ambiguous,20,sensitivity_only,,Possible simpler alternative to aquaticity index
